time,frequency,confidence
4.900,258.793,0.653911
4.920,260.582,0.831143
4.940,264.416,0.838499
4.960,261.176,0.870861
4.980,260.790,0.848941
5.000,264.108,0.822915
5.020,261.318,0.856757
5.040,260.779,0.871433
5.060,263.597,0.888176
5.080,263.776,0.851060
5.100,262.225,0.873914
5.120,263.037,0.914717
5.140,263.696,0.887095
5.160,261.817,0.891839
5.180,259.791,0.904862
5.200,263.296,0.815273
5.220,260.976,0.665136
5.240,219.963,0.732619
5.260,220.473,0.811498
5.280,220.337,0.863811
5.300,220.608,0.844080
5.320,220.493,0.825231
5.340,221.169,0.838443
5.360,220.942,0.859753
5.380,220.773,0.817293
5.400,220.799,0.894783
5.420,220.881,0.903562
5.440,220.330,0.890444
5.460,221.135,0.890742
5.480,220.425,0.925966
5.500,220.406,0.922151
5.520,220.661,0.922390
5.540,220.455,0.921619
5.560,219.912,0.912375
5.580,220.089,0.912258
5.600,220.509,0.913629
5.620,220.215,0.924053
5.640,220.684,0.912188
5.660,220.293,0.919125
5.680,220.227,0.927172
5.700,220.223,0.923367
5.720,220.714,0.896614
5.740,220.457,0.919150
5.760,220.181,0.926951
5.780,220.188,0.918820
5.800,219.944,0.900863
5.820,220.513,0.921215
5.840,220.313,0.903514
5.860,220.595,0.907405
5.880,220.244,0.923638
5.900,219.887,0.919221
5.920,219.964,0.901432
5.940,220.622,0.891453
5.960,220.107,0.929514
5.980,220.478,0.920225
6.000,220.223,0.889375
6.020,220.421,0.925131
6.040,220.019,0.916022
6.060,219.993,0.902827
6.080,220.558,0.905473
6.100,220.058,0.905585
6.120,220.341,0.897110
6.140,220.523,0.863782
6.160,292.845,0.661746
6.180,294.048,0.881156
6.200,294.320,0.873290
6.220,294.928,0.854789
6.240,294.672,0.877780
6.260,293.963,0.877447
6.280,294.748,0.903744
6.300,293.921,0.876745
6.320,294.517,0.895852
6.340,295.005,0.872705
6.360,294.484,0.839115
6.380,293.291,0.815924
6.400,293.402,0.778228
6.420,293.512,0.800814
6.440,290.912,0.718694
6.460,262.706,0.692413
6.480,261.944,0.851019
6.500,263.200,0.906889
6.520,262.726,0.863789
6.540,262.896,0.854239
6.560,263.639,0.876810
6.580,262.807,0.854842
6.600,263.202,0.867056
6.620,262.945,0.897660
6.640,263.345,0.838815
6.660,263.679,0.884657
6.680,262.634,0.911134
6.700,263.003,0.852275
6.720,263.321,0.858741
6.740,260.553,0.783793
6.760,288.341,0.572089
6.780,294.812,0.820598
6.800,293.799,0.777130
6.820,293.671,0.795501
6.840,294.737,0.842157
6.860,293.758,0.817302
6.880,293.873,0.856697
6.900,294.401,0.832375
6.920,293.916,0.859782
6.940,293.855,0.818165
6.960,294.920,0.835652
6.980,293.075,0.813257
7.000,293.176,0.832480
7.020,293.462,0.811896
7.040,292.937,0.811391
7.060,293.415,0.835042
7.080,293.623,0.752026
7.100,293.382,0.770174
7.120,294.667,0.771217
7.140,294.319,0.814984
7.160,294.239,0.842460
7.180,294.180,0.818165
7.200,293.629,0.799689
7.220,293.225,0.812968
7.240,293.827,0.799148
7.260,292.981,0.777516
7.280,293.801,0.702035
7.300,294.598,0.657588
7.320,293.148,0.687431
7.340,294.887,0.684361
7.360,295.817,0.494622
7.380,291.714,0.466779
7.400,350.910,0.637677
7.420,349.933,0.676375
7.440,352.721,0.767437
7.460,349.112,0.697789
7.480,296.417,0.504838
7.500,298.051,0.629574
7.520,347.347,0.398903
7.540,293.139,0.473192
7.560,296.516,0.507671
7.580,295.605,0.502297
7.600,293.568,0.643346
7.620,296.726,0.612277
7.640,295.246,0.575041
7.660,297.964,0.649829
7.680,302.292,0.465866
7.700,331.402,0.663135
7.720,334.028,0.835767
7.740,333.085,0.834646
7.760,330.431,0.699454
7.780,329.847,0.509132
7.800,329.087,0.550081
7.820,335.227,0.770122
7.840,334.937,0.745078
7.860,331.233,0.512745
7.880,297.123,0.538806
7.900,333.391,0.532507
7.920,333.157,0.437620
7.940,294.941,0.529902
7.960,333.107,0.417889
7.980,293.956,0.507584
8.000,294.923,0.703798
8.020,297.334,0.375177
8.040,294.718,0.507223
8.060,295.179,0.332602
8.080,295.012,0.421331
8.100,295.226,0.571311
8.120,298.023,0.586918
8.140,294.967,0.407496
8.160,293.924,0.505103
8.180,329.592,0.544164
8.200,331.210,0.450448
8.220,329.289,0.369537
8.240,329.892,0.542240
8.260,294.445,0.435550
8.280,294.790,0.534496
8.300,295.899,0.409672
8.320,330.017,0.420765
8.340,294.556,0.661387
8.360,294.500,0.569472
8.380,293.447,0.679004
8.400,295.510,0.601610
8.420,294.152,0.584207
8.440,291.861,0.508779
8.460,295.861,0.538438
8.480,293.938,0.437417
8.500,292.091,0.514506
8.520,293.974,0.239058
8.540,291.972,0.557044
8.560,293.505,0.542832
8.580,294.193,0.483489
8.600,292.594,0.205091
8.620,332.084,0.624219
8.640,331.245,0.821181
8.660,331.246,0.876489
8.680,331.072,0.916835
8.700,329.927,0.904703
8.720,329.369,0.853144
8.740,331.122,0.913333
8.760,330.686,0.871080
8.780,330.641,0.825931
8.800,330.325,0.797107
8.820,330.670,0.758996
8.840,329.846,0.777922
8.860,331.312,0.707863
8.880,329.756,0.699304
8.900,329.841,0.686328
8.920,301.108,0.626824
8.940,295.113,0.851674
8.960,293.852,0.938109
8.980,294.497,0.939711
9.000,294.027,0.925323
9.020,294.031,0.925921
9.040,294.807,0.956692
9.060,294.956,0.959662
9.080,294.045,0.960198
9.100,294.516,0.955222
9.120,295.262,0.947067
9.140,293.877,0.929826
9.160,292.649,0.868299
9.180,293.781,0.892727
9.200,294.676,0.933973
9.220,265.965,0.441656
9.240,263.752,0.840345
9.260,261.891,0.930427
9.280,262.518,0.925550
9.300,262.747,0.927115
9.320,262.574,0.926732
9.340,262.851,0.920315
9.360,262.512,0.943936
9.380,262.024,0.940144
9.400,262.582,0.946784
9.420,262.623,0.947848
9.440,262.561,0.947635
9.460,262.571,0.958795
9.480,261.910,0.942724
9.500,261.795,0.928529
9.520,264.242,0.537619
9.540,292.803,0.644313
9.560,293.785,0.849997
9.580,294.255,0.860593
9.600,294.052,0.815634
9.620,293.646,0.813962
9.640,294.313,0.826756
9.660,294.033,0.862031
9.680,294.293,0.874371
9.700,294.675,0.868987
9.720,293.983,0.828069
9.740,294.005,0.816955
9.760,293.261,0.764615
9.780,292.238,0.702890
9.800,293.940,0.788936
9.820,293.518,0.797553
9.840,294.306,0.793437
9.860,297.456,0.797965
9.880,293.892,0.607632
9.900,294.537,0.684598
9.920,296.520,0.688231
9.940,294.160,0.670779
9.960,295.348,0.803160
9.980,295.240,0.740080
10.000,294.095,0.723961
10.020,293.924,0.598584
10.040,293.818,0.485761
10.060,293.326,0.518435
10.080,294.850,0.636269
10.100,295.824,0.552108
10.120,293.468,0.512377
10.140,439.423,0.479217
10.160,441.700,0.882145
10.180,441.112,0.910955
10.200,440.664,0.926645
10.220,440.963,0.918814
10.240,440.103,0.875286
10.260,440.589,0.845015
10.280,440.709,0.770623
10.300,439.778,0.724592
10.320,439.769,0.451093
10.340,439.323,0.384925
10.360,438.998,0.563504
10.380,295.685,0.324522
10.400,296.009,0.451574
10.420,297.679,0.275906
10.440,296.504,0.362026
10.460,295.469,0.491703
10.480,440.416,0.406686
10.500,294.067,0.386344
10.520,295.102,0.407705
10.540,440.851,0.581237
10.560,440.652,0.303931
10.580,264.354,0.239263
10.600,297.256,0.225720
10.620,264.429,0.353148
10.640,295.962,0.448298
10.660,295.083,0.474080
10.680,293.501,0.641348
10.700,294.565,0.477168
10.720,293.668,0.348516
10.740,293.075,0.506809
10.760,439.582,0.659381
10.780,292.980,0.471872
10.800,293.627,0.531354
10.820,296.432,0.453598
10.840,293.346,0.542628
10.860,293.734,0.651999
10.880,294.421,0.657559
10.900,293.548,0.695246
10.920,295.054,0.715455
10.940,294.038,0.635763
10.960,292.656,0.659804
10.980,295.794,0.758671
11.000,294.101,0.687205
11.020,293.252,0.790469
11.040,295.551,0.807201
11.060,291.635,0.389920
11.080,441.659,0.892801
11.100,441.684,0.955725
11.120,440.531,0.956558
11.140,440.243,0.956894
11.160,440.673,0.956869
11.180,440.013,0.951044
11.200,440.375,0.958752
11.220,440.366,0.944378
11.240,440.125,0.945539
11.260,439.999,0.953476
11.280,440.178,0.949000
11.300,439.839,0.948330
11.320,440.230,0.950859
11.340,440.364,0.944314
11.360,438.891,0.903789
11.380,421.276,0.741208
11.400,418.548,0.901133
11.420,417.235,0.919285
11.440,417.686,0.913785
11.460,417.399,0.920103
11.480,417.575,0.919704
11.500,416.806,0.921637
11.520,417.281,0.904612
11.540,417.157,0.936151
11.560,415.539,0.873875
11.580,415.592,0.911579
11.600,415.370,0.889190
11.620,415.818,0.900829
11.640,417.208,0.860559
11.660,417.539,0.695296
11.680,413.305,0.338990
11.700,330.123,0.662917
11.720,332.024,0.767854
11.740,331.942,0.865422
11.760,330.170,0.873069
11.780,328.880,0.822522
11.800,330.685,0.813511
11.820,330.448,0.824128
11.840,329.810,0.810697
11.860,329.876,0.794901
11.880,332.344,0.543514
11.900,330.380,0.575742
11.920,330.343,0.509625
11.940,327.861,0.507838
11.960,415.293,0.416604
11.980,410.682,0.507547
12.000,397.394,0.627849
12.020,394.910,0.895841
12.040,396.238,0.897661
12.060,392.949,0.886306
12.080,393.320,0.896307
12.100,393.635,0.914518
12.120,394.784,0.893679
12.140,393.509,0.911377
12.160,395.161,0.896863
12.180,393.913,0.865817
12.200,396.137,0.875822
12.220,395.804,0.782833
