time,frequency,confidence
9.800,349.315,0.870556
9.840,348.491,0.918248
9.880,349.414,0.877428
9.920,349.370,0.940041
9.960,348.964,0.970992
10.000,348.781,0.962659
10.040,350.073,0.961407
10.080,349.925,0.949254
10.120,348.210,0.943018
10.160,348.668,0.958205
10.200,349.740,0.969490
10.240,350.174,0.959738
10.280,348.737,0.953826
10.320,348.448,0.952323
10.360,349.063,0.968756
10.400,349.126,0.966462
10.440,349.774,0.970461
10.480,349.085,0.968613
10.520,348.577,0.955492
10.560,349.282,0.968195
10.600,349.067,0.965530
10.640,349.306,0.965298
10.680,348.244,0.498974
10.720,331.887,0.922632
10.760,329.876,0.948139
10.800,329.334,0.923126
10.840,329.810,0.959667
10.880,329.907,0.970881
10.920,330.135,0.976036
10.960,329.847,0.964716
11.000,330.127,0.966472
11.040,329.218,0.951391
11.080,329.857,0.973721
11.120,329.924,0.971944
11.160,329.510,0.962685
11.200,330.054,0.970964
11.240,329.707,0.967369
11.280,329.558,0.963249
11.320,329.814,0.967204
11.360,329.600,0.959062
11.400,329.971,0.973951
11.440,329.860,0.973184
11.480,329.552,0.962527
11.520,329.951,0.965374
11.560,330.240,0.968395
11.600,329.973,0.962981
11.640,329.063,0.936999
11.680,297.208,0.510702
11.720,295.656,0.936321
11.760,295.362,0.969027
11.800,293.583,0.962543
11.840,294.054,0.973247
11.880,293.905,0.970900
11.920,294.227,0.973231
11.960,293.783,0.965605
12.000,293.529,0.961063
12.040,294.191,0.977424
12.080,293.263,0.961173
12.120,293.832,0.972630
12.160,294.081,0.974090
12.200,293.917,0.974553
12.240,293.928,0.971291
12.280,294.048,0.975888
12.320,294.451,0.979074
12.360,293.640,0.969750
12.400,293.619,0.969471
12.440,294.039,0.976451
12.480,294.082,0.979105
12.520,293.998,0.975102
12.560,293.714,0.974534
12.600,293.847,0.975254
12.640,294.268,0.980524
12.680,351.687,0.245160
12.720,392.184,0.725199
12.760,393.792,0.928939
12.800,393.418,0.940786
12.840,393.118,0.946972
12.880,392.881,0.938979
12.920,392.975,0.948198
12.960,392.071,0.954872
13.000,393.113,0.959549
13.040,392.809,0.961146
13.080,393.205,0.964003
13.120,392.659,0.965835
13.160,393.997,0.970609
13.200,392.855,0.973064
13.240,393.277,0.970840
13.280,393.054,0.972082
13.320,392.548,0.969134
13.360,392.623,0.967171
13.400,392.530,0.968228
13.440,392.976,0.969030
13.480,392.527,0.966345
13.520,392.828,0.969514
13.560,392.747,0.967349
13.600,392.530,0.967165
13.640,392.187,0.961397
13.680,334.149,0.398969
13.720,331.329,0.937403
13.760,330.246,0.959224
13.800,328.891,0.919472
13.840,329.703,0.963263
13.880,329.301,0.950697
13.920,330.030,0.968161
13.960,330.131,0.961950
14.000,330.055,0.969635
14.040,329.075,0.943492
14.080,329.634,0.962249
14.120,330.225,0.974217
14.160,329.448,0.953312
14.200,330.099,0.971667
14.240,329.565,0.956729
14.280,329.685,0.966255
14.320,329.962,0.969985
14.360,329.629,0.958413
14.400,329.810,0.971594
14.440,329.650,0.964768
14.480,329.573,0.965632
14.520,330.309,0.969792
14.560,330.038,0.968056
14.600,329.834,0.960081
14.640,329.762,0.957180
14.680,329.776,0.965829
14.720,329.809,0.965850
14.760,330.055,0.969669
14.800,329.934,0.959935
14.840,330.074,0.969743
14.880,330.430,0.957615
14.920,329.850,0.956867
14.960,329.997,0.966155
15.000,330.134,0.960511
15.040,329.896,0.957905
15.080,330.219,0.968141
15.120,329.706,0.966190
15.160,330.445,0.973116
15.200,329.945,0.966674
15.240,329.855,0.965917
15.280,330.043,0.965995
15.320,329.919,0.967283
15.360,329.790,0.965981
15.400,329.959,0.968705
15.440,329.709,0.962916
15.480,330.135,0.969958
15.520,329.871,0.963034
15.560,329.998,0.967049
15.600,330.285,0.971174
15.640,330.010,0.969068
15.680,260.676,0.621703
15.720,260.664,0.917973
15.760,262.270,0.953000
15.800,261.634,0.952745
15.840,261.970,0.961629
15.880,261.180,0.945556
15.920,262.047,0.963012
15.960,261.468,0.952139
16.000,261.241,0.943416
16.040,261.440,0.953299
16.080,261.731,0.958347
16.120,260.769,0.934653
16.160,261.864,0.961870
16.200,261.536,0.955578
16.240,261.354,0.951345
16.280,261.396,0.957158
16.320,261.033,0.943129
16.360,261.359,0.951271
16.400,261.279,0.947873
16.440,261.452,0.955683
16.480,261.315,0.954291
16.520,261.700,0.960342
16.560,261.590,0.958132
16.600,261.613,0.959394
16.640,261.523,0.956676
16.680,261.569,0.956696
16.720,261.448,0.954757
16.760,261.278,0.945503
16.800,261.319,0.945392
16.840,261.457,0.946219
16.880,261.290,0.943214
16.920,260.990,0.937429
16.960,261.173,0.942369
17.000,261.317,0.946608
17.040,261.277,0.948742
17.080,261.423,0.953205
17.120,261.291,0.952061
17.160,261.429,0.954806
17.200,261.223,0.948059
17.240,261.315,0.950143
17.280,261.154,0.944623
17.320,261.057,0.943006
17.360,261.007,0.939691
17.400,261.157,0.942746
17.440,261.185,0.942535
17.480,261.281,0.948362
17.520,261.319,0.952127
17.560,261.273,0.951744
17.600,261.104,0.941716
17.640,261.338,0.941915
17.680,334.599,0.579113
17.720,331.169,0.935823
17.760,329.913,0.948644
17.800,329.375,0.947392
17.840,329.494,0.962678
17.880,329.446,0.956525
17.920,330.125,0.972165
17.960,330.029,0.970898
18.000,330.036,0.972685
18.040,328.902,0.943718
18.080,329.684,0.966709
18.120,330.121,0.974947
18.160,329.557,0.966318
18.200,329.970,0.971036
18.240,329.641,0.965147
18.280,329.625,0.963904
18.320,329.950,0.970880
18.360,329.596,0.962656
18.400,329.661,0.968514
18.440,329.828,0.970467
18.480,329.694,0.965033
18.520,330.081,0.970440
18.560,330.197,0.972360
18.600,329.844,0.954616
18.640,329.735,0.958405
18.680,330.033,0.969637
18.720,329.614,0.961356
18.760,330.173,0.972129
18.800,330.197,0.967973
18.840,329.934,0.962431
18.880,330.573,0.964735
18.920,329.891,0.959885
18.960,329.751,0.957065
19.000,330.381,0.967193
19.040,330.097,0.967102
19.080,330.049,0.967913
19.120,330.211,0.970670
19.160,329.961,0.968052
19.200,329.822,0.968136
19.240,330.195,0.969117
19.280,329.884,0.963262
19.320,329.812,0.964845
19.360,329.847,0.964285
19.400,329.942,0.967754
19.440,329.981,0.967913
19.480,329.574,0.956900
19.520,329.926,0.966255
19.560,330.202,0.969201
19.600,330.238,0.968627
19.640,329.931,0.964739
19.680,260.814,0.619407
19.720,260.786,0.906387
19.760,262.017,0.951762
19.800,261.746,0.952799
19.840,262.004,0.961549
19.880,261.174,0.945348
19.920,262.059,0.962738
19.960,261.494,0.953517
20.000,261.199,0.943690
20.040,261.404,0.952272
20.080,261.796,0.959137
20.120,260.721,0.936168
20.160,261.934,0.961866
20.200,261.580,0.955714
20.240,261.337,0.950995
20.280,261.328,0.956563
20.320,261.132,0.946919
20.360,261.262,0.947912
20.400,261.252,0.947974
20.440,261.475,0.957332
20.480,261.357,0.955991
20.520,261.663,0.961142
20.560,261.586,0.957897
20.600,261.624,0.959471
20.640,261.497,0.956337
20.680,261.507,0.956059
20.720,261.409,0.952680
20.760,261.382,0.947919
20.800,261.263,0.942961
20.840,261.372,0.944847
20.880,261.311,0.943622
20.920,261.048,0.938713
20.960,261.113,0.941581
21.000,261.380,0.948942
21.040,261.230,0.946740
21.080,261.450,0.953780
21.120,261.336,0.952980
21.160,261.389,0.954191
21.200,261.197,0.946005
21.240,261.296,0.948933
21.280,261.219,0.946883
21.320,260.994,0.941429
21.360,261.184,0.945063
21.400,261.093,0.938213
21.440,261.208,0.944196
21.480,261.220,0.947284
21.520,261.366,0.952694
21.560,261.263,0.950637
21.600,261.135,0.943287
21.640,261.358,0.940685
21.680,333.969,0.601408
21.720,331.017,0.943383
21.760,329.923,0.949014
21.800,329.279,0.943963
21.840,329.595,0.964671
21.880,329.450,0.957420
21.920,330.102,0.972612
21.960,330.089,0.971238
22.000,330.037,0.973396
22.040,328.957,0.946522
22.080,329.626,0.965013
22.120,330.058,0.973454
22.160,329.568,0.965512
22.200,330.024,0.970832
22.240,329.671,0.966318
22.280,329.624,0.964826
22.320,330.004,0.971746
22.360,329.594,0.961517
22.400,329.665,0.967390
22.440,329.903,0.972569
22.480,329.552,0.962792
22.520,330.099,0.971329
22.560,330.182,0.971541
22.600,329.798,0.955380
22.640,329.115,0.932191
22.680,338.148,0.655349
22.720,331.439,0.933335
22.760,329.985,0.951794
22.800,329.275,0.943585
22.840,329.549,0.962225
22.880,329.493,0.958665
22.920,330.070,0.971973
22.960,330.109,0.970744
23.000,330.010,0.973185
23.040,328.972,0.946800
23.080,329.659,0.967484
