time,frequency,confidence
4.900,391.269,0.923894
4.920,391.222,0.924180
4.940,391.369,0.928835
4.960,391.355,0.920131
4.980,349.712,0.275855
5.000,348.705,0.860926
5.020,349.281,0.953849
5.040,349.592,0.972015
5.060,349.809,0.970361
5.080,349.839,0.966158
5.100,349.651,0.964270
5.120,349.876,0.964766
5.140,349.360,0.968099
5.160,349.125,0.963328
5.180,349.358,0.965868
5.200,349.520,0.968738
5.220,349.291,0.966296
5.240,349.171,0.962419
5.260,349.217,0.963894
5.280,349.222,0.961499
5.300,349.063,0.961318
5.320,349.203,0.964272
5.340,349.279,0.964207
5.360,349.112,0.963618
5.380,349.103,0.962314
5.400,349.347,0.965608
5.420,349.212,0.964052
5.440,349.022,0.962517
5.460,349.165,0.964080
5.480,349.139,0.963237
5.500,349.123,0.963636
5.520,349.077,0.959173
5.540,349.159,0.958346
5.560,349.040,0.952788
5.580,349.124,0.952959
5.600,349.261,0.954693
5.620,349.260,0.957204
5.640,349.173,0.955830
5.660,349.187,0.958380
5.680,349.211,0.961043
5.700,349.249,0.960042
5.720,349.218,0.960944
5.740,349.172,0.959064
5.760,349.190,0.959849
5.780,349.145,0.958371
5.800,349.100,0.957983
5.820,349.093,0.957569
5.840,349.041,0.956705
5.860,349.024,0.954701
5.880,348.981,0.951255
5.900,349.072,0.952960
5.920,349.066,0.952131
5.940,348.956,0.951391
5.960,348.913,0.948452
5.980,348.707,0.765040
6.000,492.990,0.701890
6.020,493.171,0.924159
6.040,493.043,0.928368
6.060,493.892,0.961413
6.080,493.978,0.970608
6.100,494.012,0.972166
6.120,494.405,0.971769
6.140,494.131,0.969937
6.160,493.837,0.970645
6.180,493.949,0.972893
6.200,494.461,0.975518
6.220,493.938,0.968084
6.240,493.661,0.964170
6.260,493.892,0.971028
6.280,494.057,0.966765
6.300,493.987,0.966343
6.320,494.410,0.974193
6.340,493.720,0.970090
6.360,493.716,0.966696
6.380,493.826,0.965002
6.400,493.720,0.967455
6.420,493.703,0.970285
6.440,494.202,0.971143
6.460,494.439,0.973135
6.480,493.803,0.897388
6.500,520.170,0.687169
6.520,521.300,0.923331
6.540,523.550,0.922376
6.560,524.173,0.932872
6.580,524.549,0.947720
6.600,524.199,0.953935
6.620,524.784,0.959687
6.640,524.089,0.956213
6.660,523.826,0.956983
6.680,524.161,0.956457
6.700,524.302,0.963586
6.720,524.535,0.962627
6.740,524.741,0.964643
6.760,524.368,0.957891
6.780,523.951,0.955114
6.800,525.033,0.963739
6.820,525.548,0.959802
6.840,524.866,0.961303
6.860,525.029,0.962815
6.880,525.189,0.963065
6.900,524.424,0.961948
6.920,524.916,0.961938
6.940,524.153,0.959082
6.960,524.110,0.960447
6.980,524.373,0.581047
7.000,329.921,0.817703
7.020,330.346,0.955596
7.040,330.137,0.970124
7.060,329.381,0.951574
7.080,329.589,0.958786
7.100,329.711,0.961860
7.120,329.887,0.965856
7.140,329.736,0.964747
7.160,329.263,0.958284
7.180,329.156,0.951016
7.200,329.836,0.964825
7.220,330.015,0.965999
7.240,329.410,0.954455
7.260,329.325,0.951869
7.280,329.644,0.955124
7.300,329.641,0.956480
7.320,329.540,0.953485
7.340,329.379,0.946857
7.360,329.143,0.936843
7.380,329.597,0.956812
7.400,329.558,0.952772
7.420,329.623,0.957608
7.440,329.235,0.946331
7.460,329.389,0.950241
7.480,329.307,0.937831
7.500,391.544,0.728894
7.520,392.962,0.936396
7.540,393.007,0.963751
7.560,393.153,0.970738
7.580,392.950,0.966911
7.600,392.287,0.961014
7.620,392.116,0.962661
