time,frequency,confidence
9.800,349.580,0.880460
9.840,348.586,0.921742
9.880,349.557,0.882863
9.920,349.412,0.940764
9.960,348.982,0.970043
10.000,348.773,0.960743
10.040,350.123,0.962635
10.080,349.971,0.952014
10.120,348.221,0.940863
10.160,348.635,0.957769
10.200,349.556,0.967660
10.240,349.981,0.959836
10.280,348.767,0.955069
10.320,348.516,0.955081
10.360,349.071,0.969868
10.400,349.117,0.967546
10.440,349.791,0.970502
10.480,349.054,0.969140
10.520,348.536,0.954597
10.560,349.328,0.968325
10.600,349.058,0.964637
10.640,349.370,0.965619
10.680,348.208,0.499244
10.720,331.629,0.928017
10.760,329.659,0.943424
10.800,329.347,0.925355
10.840,329.784,0.959438
10.880,329.867,0.970706
10.920,330.176,0.976763
10.960,329.920,0.964720
11.000,330.050,0.966980
11.040,329.215,0.954721
11.080,329.788,0.971761
11.120,329.954,0.971965
11.160,329.598,0.963683
11.200,330.079,0.972114
11.240,329.744,0.968783
11.280,329.609,0.964590
11.320,329.829,0.966615
11.360,329.624,0.958411
11.400,329.911,0.972732
11.440,329.906,0.974056
11.480,329.492,0.960695
11.520,329.820,0.962217
11.560,330.401,0.969823
11.600,329.877,0.960294
11.640,329.144,0.940690
11.680,297.465,0.483088
11.720,295.624,0.937247
11.760,295.422,0.968550
11.800,293.635,0.963125
11.840,294.002,0.972514
11.880,293.873,0.970368
11.920,294.234,0.973275
11.960,293.841,0.966720
12.000,293.451,0.958907
12.040,294.184,0.977523
12.080,293.346,0.963335
12.120,293.891,0.973026
12.160,294.001,0.973454
12.200,293.962,0.974904
12.240,294.034,0.971758
12.280,294.031,0.974730
12.320,294.445,0.979339
12.360,293.659,0.969897
12.400,293.690,0.970655
12.440,294.035,0.976576
12.480,294.066,0.979064
12.520,293.987,0.974947
12.560,293.707,0.974849
12.600,293.870,0.975278
12.640,294.308,0.980732
12.680,294.637,0.258192
12.720,392.193,0.707242
12.760,394.024,0.928916
12.800,393.466,0.941583
12.840,393.263,0.948029
12.880,392.950,0.941179
12.920,392.952,0.947864
12.960,392.259,0.957873
13.000,393.174,0.957863
13.040,392.954,0.962363
13.080,393.197,0.964199
13.120,392.589,0.964831
13.160,393.772,0.971992
13.200,392.743,0.972503
13.240,393.326,0.970993
13.280,392.920,0.971782
13.320,392.590,0.969665
13.360,392.524,0.966643
13.400,392.617,0.967985
13.440,392.893,0.969934
13.480,392.475,0.964474
13.520,392.822,0.968807
13.560,392.760,0.966297
13.600,392.595,0.967110
13.640,392.241,0.961638
13.680,333.941,0.371717
13.720,331.384,0.940959
13.760,330.315,0.960593
13.800,328.898,0.918179
13.840,329.548,0.960396
13.880,329.426,0.952615
13.920,329.963,0.967564
13.960,329.933,0.963359
14.000,330.117,0.969574
14.040,329.107,0.943882
14.080,329.705,0.967756
14.120,330.079,0.970509
14.160,329.498,0.953965
14.200,330.073,0.970822
14.240,329.545,0.957985
14.280,329.730,0.968820
14.320,329.942,0.969965
14.360,329.470,0.956061
14.400,329.708,0.966035
14.440,329.614,0.962945
14.480,329.707,0.968426
14.520,330.188,0.970058
14.560,329.995,0.968791
14.600,330.083,0.962033
14.640,329.684,0.957367
14.680,329.796,0.966185
14.720,329.763,0.964477
14.760,330.194,0.970814
14.800,330.013,0.962408
14.840,329.994,0.964425
14.880,330.398,0.961531
14.920,330.049,0.959413
14.960,329.848,0.959976
15.000,329.910,0.956114
15.040,329.919,0.963018
15.080,330.205,0.966218
15.120,329.888,0.969495
15.160,330.294,0.973180
15.200,329.921,0.965623
15.240,330.051,0.970146
15.280,329.860,0.963029
15.320,329.813,0.965546
15.360,329.943,0.965791
15.400,329.929,0.967774
15.440,329.790,0.965754
15.480,330.096,0.968650
15.520,329.918,0.965458
15.560,330.056,0.966516
15.600,330.179,0.967008
15.640,330.095,0.969722
15.680,260.897,0.600329
15.720,260.561,0.914499
15.760,262.320,0.953699
15.800,261.614,0.952183
15.840,261.946,0.962348
15.880,261.075,0.941619
15.920,262.117,0.963037
15.960,261.551,0.954139
16.000,261.305,0.942772
16.040,261.407,0.954117
16.080,261.701,0.958260
16.120,260.700,0.938355
16.160,261.922,0.963134
16.200,261.532,0.956794
16.240,261.356,0.952433
16.280,261.400,0.956979
16.320,261.039,0.941969
16.360,261.340,0.950462
16.400,261.205,0.947264
16.440,261.443,0.957148
16.480,261.379,0.955487
16.520,261.756,0.961178
16.560,261.631,0.958044
16.600,261.620,0.959424
16.640,261.572,0.958643
16.680,261.475,0.954505
16.720,261.473,0.954070
16.760,261.303,0.943436
16.800,261.346,0.945234
16.840,261.451,0.948302
16.880,261.225,0.942517
16.920,260.944,0.935072
16.960,261.212,0.943640
17.000,261.360,0.949253
17.040,261.285,0.950820
17.080,261.411,0.953579
17.120,261.356,0.952068
17.160,261.419,0.953785
17.200,261.209,0.945820
17.240,261.265,0.949275
17.280,261.102,0.945284
17.320,261.044,0.941506
17.360,261.123,0.940441
17.400,261.206,0.943238
17.440,261.211,0.944214
17.480,261.197,0.947158
17.520,261.302,0.951311
17.560,261.286,0.950820
17.600,261.043,0.938895
17.640,261.333,0.943640
17.680,333.636,0.604418
17.720,331.341,0.937378
17.760,329.770,0.943797
17.800,329.237,0.946322
17.840,329.573,0.962785
17.880,329.398,0.954929
17.920,330.038,0.970576
17.960,330.033,0.967700
18.000,330.134,0.973202
18.040,328.903,0.947611
18.080,329.710,0.967813
18.120,330.047,0.974629
18.160,329.592,0.964688
18.200,329.957,0.969657
18.240,329.569,0.965680
18.280,329.686,0.965307
18.320,329.905,0.970813
18.360,329.592,0.959911
18.400,329.825,0.969152
18.440,329.812,0.971376
18.480,329.532,0.962071
18.520,330.190,0.973449
18.560,330.246,0.970585
18.600,329.586,0.949379
18.640,329.725,0.961172
18.680,329.898,0.967104
18.720,329.753,0.964676
18.760,330.221,0.973223
18.800,330.001,0.964764
18.840,329.999,0.963079
18.880,330.677,0.968844
18.920,329.916,0.958272
18.960,330.005,0.953811
19.000,330.202,0.967557
19.040,329.957,0.964845
19.080,330.514,0.970418
19.120,330.055,0.965380
19.160,329.771,0.963504
19.200,330.203,0.971574
19.240,330.019,0.969540
19.280,329.771,0.963786
19.320,329.897,0.965722
19.360,329.810,0.963124
19.400,330.027,0.968990
19.440,329.892,0.966957
19.480,329.624,0.958210
19.520,330.069,0.968719
19.560,329.956,0.963457
19.600,330.183,0.966062
19.640,330.093,0.967953
19.680,260.763,0.605841
19.720,260.696,0.905870
19.760,262.125,0.952842
19.800,261.657,0.950743
19.840,262.023,0.961818
19.880,261.140,0.942773
19.920,262.145,0.962586
19.960,261.556,0.953994
20.000,261.302,0.945263
20.040,261.371,0.953096
20.080,261.702,0.959766
20.120,260.753,0.936420
20.160,261.980,0.963617
20.200,261.632,0.959006
20.240,261.318,0.952355
20.280,261.360,0.957115
20.320,261.156,0.945819
20.360,261.216,0.946391
20.400,261.119,0.945601
20.440,261.459,0.958908
20.480,261.448,0.957469
20.520,261.711,0.961915
20.560,261.650,0.957996
20.600,261.646,0.959624
20.640,261.480,0.957325
20.680,261.432,0.953275
20.720,261.441,0.951872
20.760,261.276,0.942623
20.800,261.297,0.943999
20.840,261.305,0.946177
20.880,261.178,0.941721
20.920,261.058,0.937539
20.960,261.169,0.942070
21.000,261.495,0.953237
21.040,261.216,0.948518
21.080,261.439,0.953366
21.120,261.392,0.951732
21.160,261.340,0.952312
21.200,261.157,0.943577
21.240,261.233,0.949154
21.280,261.174,0.947219
21.320,261.025,0.940513
21.360,261.305,0.945549
21.400,261.126,0.939445
21.440,261.205,0.946110
21.480,261.146,0.946350
21.520,261.363,0.951843
21.560,261.219,0.947249
21.600,261.048,0.939298
21.640,261.296,0.943007
21.680,332.919,0.608106
21.720,331.185,0.944969
21.760,329.880,0.948364
21.800,329.246,0.947031
21.840,329.633,0.961807
21.880,329.518,0.957525
21.920,330.039,0.970538
21.960,330.032,0.968438
22.000,330.139,0.972972
22.040,328.983,0.948366
22.080,329.685,0.966504
22.120,330.065,0.975415
22.160,329.603,0.962495
22.200,329.982,0.968550
22.240,329.675,0.967769
22.280,329.600,0.963801
22.320,330.006,0.973679
22.360,329.599,0.957274
22.400,329.817,0.969125
22.440,329.935,0.972564
22.480,329.392,0.958167
22.520,330.252,0.973813
22.560,330.157,0.968268
22.600,329.583,0.951678
22.640,329.095,0.936767
22.680,339.723,0.618512
22.720,331.649,0.933778
22.760,329.969,0.952556
22.800,329.253,0.946642
22.840,329.574,0.958995
22.880,329.605,0.959316
22.920,330.037,0.970615
22.960,330.121,0.969390
23.000,330.148,0.973693
23.040,328.986,0.948603
23.080,329.523,0.964643
23.120,330.083,0.976719
23.160,329.659,0.964625
23.200,329.930,0.968020
